,realUp,summ_context,okt_tokenized
10,1,씨티엘과 라이브플렉스는 월 정액제를 도입한 가상화폐 거래소 코인마블 서비스를 준비하고 있다고 발표함에 따라 주가가 크게 상승했습니다 이 새로운 모델은 주식거래보다 최대 배 높은 수수료를 부과하는 현재 가상화폐 거래소에 비해 저렴한 것으로 평가받으며 이용자로부터 큰 관심을 받을 것으로 예상됩니다 월 정액제는 원부터 무제한 거래에 대해 월 만 원의 서비스를 제공하며 투자자들의 거래 비용을 크게 줄일 수 있을 것으로 기대됩니다 코인마블은 다양한 알트코인을 제공하여 투자자분들에게 더 많은 투자 기회를 제공할 계획입니다,"['씨티', '라이브', '플렉스', '정액', '도입', '가상', '화폐', '거래소', '코인', '마블', '서비스', '준비', '발표', '주가', '크게', '상승', '모델', '주식', '거래', '최대', '수수료', '부과', '현재', '가상', '화폐', '거래소', '평가', '이용자', '로부터', '관심', '예상', '정액', '무제한', '거래', '대해', '서비스', '제공', '투자자', '거래', '비용', '크게', '기대', '코인', '마블', '알트', '코인', '제공', '투자자', '투자', '기회', '제공', '계획']"
11,0,서울시가 노후 하수도를 교체하는 차세대 하수도 구축 사업을 발표함에 따라 뉴보텍이 관련주로 주목받고 있습니다 이 사업은 광진구 군자동을 시범 지역으로 선정하여 내년 월까지 기본 계획을 확립하고 이후 년부터 연간 억 원의 예산으로 서울 개 자치구 전역에 확대할 예정입니다 뉴보텍은 환경 관련 배관제 및 그 부속자재 제조업에 종사하며 상하수도관 등의 제품을 생산하고 있습니다,"['서울시', '노후', '하수도', '교체', '차세대', '하수도', '구축', '사업', '발표', '뉴보텍', '관련', '주로', '주목', '사업', '광진구', '군자동', '시범', '지역', '선정', '내년', '기본', '계획', '확립', '이후', '연간', '예산', '서울', '자치구', '전역', '확대', '예정', '뉴보텍', '환경', '관련', '관제', '부속', '자재', '제조업', '종사', '상하', '수도관', '제품', '생산']"
12,1,코스닥 시장이 정책 기대감에 힘입어 상승세를 이어가며 코스피 코스닥 통합 지수인 과 관련한 정부 활성화 방안으로 시장 기대가 더욱 커졌습니다 코스닥지수는 장중 까지 올라 년 이후 최고치를 기록했습니다 외국인과 기관은 순매수 개인은 순매도했습니다 시가총액 상위 종목들은 기대감에 힘입어 상승세를 보였습니다 셀트리온그룹주들이 급등하며 코스닥지수는 사상 최고 거래대금을 경신했습니다 코스피 지수도 선을 돌파했지만 외국인의 매도로 보합권에서 등락하였습니다,"['코스닥', '시장', '정책', '대감', '상승세', '어가', '코스피', '코스닥', '통합', '지수', '관련', '정부', '활성화', '방안', '시장', '기대', '더욱', '코스닥', '지수', '이후', '최고', '기록', '외국인', '기관', '매수', '개인', '매도', '시가총액', '상위', '종목', '대감', '상승세', '셀트리온', '그룹', '급등', '코스닥', '지수', '사상', '최고', '거래', '대금', '경신', '코스피', '지수', '돌파', '외국인', '매도', '보합', '등락']"
13,0,해당 기사는 모터스가 주식 거래를 재개한 후 상한가를 기록했다고 전하고 있습니다 감자 자본감소 결정으로 인해 재무구조 개선 기대감이 형성되었습니다 주가는 최대주주 특수관계인 주식을 보통주 주를 주로 병합하는 방식으로 결정되었으며 거래 중단 후 다시 거래가 시작되었습니다 기사에 언급된 다른 주식들과 관련된 코드는 제공되지 않았습니다,"['해당', '기사', '모터스', '주식', '거래', '재개', '상한', '기록', '전하', '감자', '자본', '감소', '결정', '재무', '구조', '개선', '대감', '형성', '주가', '최대', '주주', '특수', '관계', '주식', '보통주', '주로', '병합', '방식', '결정', '거래', '중단', '다시', '거래', '시작', '기사', '언급', '다른', '주식', '관련', '코드', '제공']"
14,1,해당 기사는 정부가 코스닥 시장 활성화를 위한 방안에 발표한 이후 제약 및 바이오주가 주목을 받고 있다고 언급하고 있습니다 신신제약 의 주가가 전날 대비 상승하며 강세를 보이고 있으며 약품 라인업 강화와 영업망 확대 계획이 회사의 성장 전망을 밝게 하고 있음을 설명합니다 서근희 증권 연구원 분석에 따르면 내년에는 수면유도 천식 전립선 비대증 패치제 등 전문의약품 분야에서의 제품 출시로 매출이 증가할 것으로 기대됩니다 또한 세종시에 첩부제 생산 공장 완공 계획이 언급되었습니다,"['해당', '기사', '정부', '코스닥', '시장', '활성화', '방안', '발표', '이후', '제약', '바이오', '주가', '주목', '언급', '제약', '주가', '전날', '대비', '상승', '강세', '보이', '약품', '라인업', '강화', '영업', '확대', '계획', '회사', '성장', '전망', '설명', '증권', '연구원', '분석', '내년', '수면', '유도', '천식', '전립선', '비대증', '패치', '전문', '의약품', '분야', '제품', '출시', '매출', '증가', '기대', '또한', '세종시', '부제', '생산', '공장', '완공', '계획', '언급']"
15,1,최근 코스닥 상승세는 가상화폐 관련주의 강한 성과 덕분으로 이어지고 있습니다 지난 일에는 코스닥지수가 선을 돌파하며 년 만에 최고치를 기록했습니다 외국인 투자자들은 이날에도 대규모로 매수세를 보이면서 의 상승률을 보였습니다 가상화폐 관련주인 버추얼텍 우리기술투자 아이지스시스템 등이 두 자릿수의 상승률을 나타냈습니다 제약주의 강세도 눈에 띄었습니다 바이로메드와 셀트리온제약이 각각 와 의 큰 폭으로 올랐습니다 외국인 투자자들은 코스닥에서 억원 어치를 순매수했으며 그중 억원은 제약주 매수에 집중했습니다 코스피지수는 전 거래일 대비 상승한 으로 마감되었습니다 시가총액 상위 종목 중 삼성생명이 상승하며 가장 높은 상승률을 보였습니다 이 경민 대신증권 마켓전략실 팀장은 코스닥 대장주인 제약 바이오 업종이 단기 과열에도 불구하고 계속 상승세를 보이고 있다고 분석했습니다 한편 정책 및 연구개발 투자 확대와 셀트리온 관련 호재에 힘입어 바이오 주식이 강세를 보였습니다 외국인 투자자들은 코스피 중형주와 금융업종을 순매수했으며 기관은 중형주를 주로 매수했습니다,"['최근', '코스닥', '상승세', '가상', '화폐', '관련', '주의', '성과', '덕분', '지난', '코스닥', '지수', '돌파', '최고', '기록', '외국인', '투자자', '대규모', '승률', '가상', '화폐', '관련', '주인', '버추', '얼텍', '우리', '기술', '투자', '아이', '지스', '시스템', '자릿수', '승률', '제약', '주의', '강세', '바이', '로메', '셀트리온', '제약', '각각', '외국인', '투자자', '코스닥', '억원', '어치', '매수', '억원', '약주', '매수', '집중', '코스피지수', '거래', '대비', '상승', '마감', '시가총액', '상위', '종목', '생명', '상승', '가장', '승률', '경민', '대신', '증권', '마켓', '전략', '코스닥', '대장', '주인', '제약', '바이오', '업종', '단기', '과열', '불구', '계속', '상승세', '보이', '분석', '한편', '정책', '연구개발', '투자', '확대', '셀트리온', '관련', '호재', '바이오', '주식', '강세', '외국인', '투자자', '코스피', '중형', '금융', '업종', '매수', '기관', '중형', '주로', '매수']"
16,1,증권가는 다음 달 일 발표될 에 주목하고 있습니다 은 지난 일 발표된 정부의 코스닥 활성화 정책으로 새로 만들어진 벤치마크 지수로 기존 벤치마크 지수인 코스피 이나 등에 비해 코스닥 상장사가 편입되거나 비중이 더 큰 것이 특징입니다 업계 전문가들은 에 포함된 종목이 수급 확대를 경험할 것으로 예상하고 있으며 대형주 위주로 편성될 것으로 보고 있습니다 특히 이 지수에 기초하여 파생상품과 상장지수펀드 가 출시되면 코스닥의 수급 안전망 역할을 할 수 있을 것으로 기대됩니다 대신증권은 에 따른 수혜를 볼 것으로 예상되는 개 종목을 선별했는데 이는 코스피에서는 휠라코리아 엔터테인먼트 롯데하이마트 등이 있고 코스닥에서는 솔브레인 차바이오텍 등 제약바이오 기업이 다수를 차지하고 있습니다 신한금융투자도 금융과 산업재 분야의 종목이 에 편입되면 수혜를 볼 것으로 예상했습니다 그러나 새로운 지수가 활성화되기 위해서는 선물 및 옵션 상품 개발이 필수적으로 이러한 부분이 해결되지 않는다면 시장의 성장에 제한적일 수 있다는 우려도 있습니다 또한 기존 벤치마크 지수인 코스피 의 자금 유입이 분산되어 중기적으로 삼성전자에 대한 매도가 증가할 수도 있습니다,"['증권', '다음', '발표', '주목', '지난', '발표', '정부', '코스닥', '활성화', '정책', '벤치마크', '지수', '기존', '벤치마크', '지수', '코스피', '이나', '코스닥', '상장', '사가', '편입', '비중', '특징', '업계', '전문가', '포함', '종목', '수급', '확대', '경험', '예상', '대형주', '위주', '편성', '보고', '지수', '기초', '파생상품', '상장', '지수', '펀드', '출시', '코스닥', '수급', '안전', '역할', '기대', '증권', '수혜', '예상', '종목', '선별', '코스피', '휠라', '코리아', '엔터테인먼트', '롯데', '하이마트', '코스닥', '브레인', '바이오', '제약', '바이오', '기업', '다수', '차지', '금융투자', '금융', '산업', '분야', '종목', '편입', '수혜', '예상', '지수', '활성화', '선물', '옵션', '상품', '개발', '필수', '부분', '해결', '시장', '성장', '제한', '우려', '또한', '기존', '벤치마크', '지수', '코스피', '자금', '유입', '분산', '기적', '전자', '대한', '매도', '증가', '수도']"
17,0,신성이엔지 중국기업과 디스플레이 장비 공급 계약 체결 억원 규모 태영건설 부산 용호 구역 주택재개발 정비사업 계약 체결 억 만원 중공업 한국중부발전과 보령화력 호기 환경설비 공급 계약 체결 억 만원 규모 참엔지니어링 임시주주총회결의 무효확인 항소 기각 유안타증권 강종구 외 인에 의한 집단 소송 허가 관련 항고심 신청 삼화전기 한국거래소로부터 현저한 시황변동 관련 조회공시 요구 차바이오텍 주주배정 후 실권주 일반공모 방식 유상증자 결정 억원 규모,"['신성', '중국', '기업', '디스플레이', '장비', '공급', '계약', '체결', '억원', '규모', '건설', '부산', '용호', '구역', '주택', '재개발', '정비', '사업', '계약', '체결', '만원', '중공업', '한국', '중부', '발전', '보령', '호기', '환경', '설비', '공급', '계약', '체결', '만원', '규모', '엔지니어링', '임시', '주주총회', '결의', '무효', '확인', '항소', '기각', '유안', '증권', '강종구', '집단', '소송', '허가', '관련', '항고심', '신청', '삼화', '전기', '한국', '거래소', '로부터', '현저', '변동', '관련', '조회', '공시', '요구', '바이오', '주주', '배정', '실권', '일반', '공모', '방식', '유상증자', '결정', '억원', '규모']"
18,1,정부가 가상화폐 거래소 폐쇄 방안은 확정된 대책이 아니라며 논의 중임을 명확히 하였습니다 이에 따라 관련 테마주가 상승세를 보이며 일부 종목은 두 자릿수 상승률을 기록했습니다 정부는 가상통화에 대한 투기와 불법행위를 차단하기 위해 실명제를 추진하는 한편 블록체인 기술은 지원 및 육성할 계획이라고 밝혔습니다,"['정부', '가상', '화폐', '거래소', '폐쇄', '방안', '확정', '대책', '논의', '중임', '관련', '테마주', '상승세', '보이', '일부', '종목', '자릿수', '승률', '기록', '정부', '가상', '통화', '대한', '투기', '불법행위', '차단', '위해', '실명', '추진', '한편', '블록', '체인', '기술', '지원', '육성', '계획']"
19,0,코스닥 지수 년 만에 처음으로 선을 돌파하며 종가 기준 사상 최고치 기록 외국인과 기관이 각각 억원 억원을 순매수하며 상승세를 주도함 셀트리온 형제 등 주요 바이오주 하락에도 코스닥 시장은 강세 유지됨 개별 종목으로는 바이오톡스텍 하이로닉 코딕이 상한가를 기록함 다날은 가상화폐 거래소 업비트에 투자한다는 소식으로 주목받고 디엠씨는 인도네시아 수주가 임박했다는 기대감으로 상승함,"['코스닥', '지수', '처음', '돌파', '종가', '기준', '사상', '최고', '기록', '외국인', '기관', '각각', '억원', '억원', '매수', '상승세', '셀트리온', '형제', '주요', '바이오', '하락', '코스닥', '시장', '강세', '유지됨', '개별', '종목', '바이오', '스텍', '하이', '코딕', '상한', '기록', '다날', '가상', '화폐', '거래소', '비트', '투자', '소식', '주목', '디엠씨', '인도네시아', '수주', '임박', '대감', '상승']"
20,1,드림시큐리티 가 삼성 의 블록체인 전자인증 플랫폼 개발 계획과 국내에서 통신 관련주의 강세로 인해 상승세를 보이고 있습니다 드림시큐리티는 전국은행연합회의 블록체인 인증 시스템 구축 사업에 참여하고 있으며 향후 금융을 넘어 제조 물류 의료 등 다양한 분야로의 확장 계획을 가지고 있습니다 또한 텔레콤과 가 양자암호기술 개발에 주력함에 따라 드림시큐리티의 관련 기술 경쟁력이 주목받고 있습니다,"['드림', '시큐리티', '삼성', '블록', '체인', '전자인증', '플랫폼', '개발', '계획', '국내', '통신', '관련', '주의', '강세', '상승세', '보이', '드림', '시큐리티', '전국', '은행', '연합', '회의', '블록', '체인', '인증', '시스템', '구축', '사업', '참여', '향후', '금융', '제조', '물류', '의료', '분야', '확장', '계획', '가지', '또한', '텔레콤', '양자암호', '기술', '개발', '주력함', '드림', '시큐리티', '관련', '기술', '경쟁력', '주목']"
21,1,요약 보안 소프트웨어 회사인 시큐브는 커널레벨 암호화 솔루션과 블록체인 기술 개발을 강화할 계획이라고 발표했습니다 이러한 결정은 개인 정보 보호와 기밀 정보의 중요성이 점점 더 커지고 있는 추세에 따른 것으로 회사는 커널레벨 암호화 솔루션 시장의 성장 가능성을 보고 있습니다 시큐브의 홍기융 대표는 지난 년 동안의 커널 보안 기술력을 바탕으로 새로운 시장 개척을 목표로 하고 있으며 하드웨어 보안과 함께 및 커널 레벨 암호 기술을 통해 블록체인 보안 분야에서 선도적 역할을 수행하고자 합니다,"['요약', '보안', '소프트웨어', '회사', '시큐브', '커널', '레벨', '암호', '솔루션', '블록', '체인', '기술', '개발', '계획', '발표', '결정', '개인', '정보', '보호', '기밀', '정보', '중요성', '점점', '추세', '회사', '커널', '레벨', '암호', '솔루션', '시장', '성장', '가능성', '보고', '시큐브', '홍기', '대표', '지난', '동안', '커널', '보안', '기술', '바탕', '시장', '개척', '목표', '하드웨어', '보안', '커널', '레벨', '암호', '기술', '통해', '블록', '체인', '보안', '분야', '선도', '역할', '수행']"
22,0,다음 장 마감 후 주요 뉴스입니다 경인전자에서 김효조 전임 대표이사 사임과 김성은 신규 선임 팀스에 대한 한국거래소 조회공시 요구 시황변동 관련 이노텍의 채준 서울대 경영대학 교수 사외이사 선임 가 합병을 통해 이엔디의 발전사업허가를 변경하여 복합화발전으로 전환 예정 가스 음성 급 및 울산 급 복합화력발전소 건설 계획 발표 오쇼핑이 을 흡수 합병하기로 결정하고 상반기 내에 관련 정부 승인을 완료할 예정 액션스퀘어 카카오게임즈를 대상으로 억원 규모 제 자배정 유상증자를 통해 운영자금 마련 한국거래소의 헬로 지분 매각설에 대한 오쇼핑의 조회공시 요구 바이오톡스텍에 대한 현저한 주가급등 관련 한국거래소 조회공시 요구 티에스인베스트먼트가 케이비티에스 중소벤처기술금융 사모투자합자회사 주식 취득 결정 지분율,"['다음', '마감', '주요', '뉴스', '인전', '김효', '전임', '대표이사', '사임', '김성은', '신규', '선임', '팀스', '대한', '한국', '거래소', '조회', '공시', '요구', '변동', '관련', '이노텍', '서울대', '경영', '대학', '교수', '사외이사', '선임', '합병', '통해', '발전', '사업', '허가', '변경', '복합', '발전', '전환', '예정', '가스', '음성', '울산', '복합', '화력발전소', '건설', '계획', '발표', '쇼핑', '흡수', '합병', '결정', '상반기', '관련', '정부', '승인', '완료', '예정', '액션', '스퀘어', '카카오', '게임', '대상', '억원', '규모', '배정', '유상증자', '통해', '운영', '자금', '마련', '한국', '거래소', '헬로', '대한', '쇼핑', '조회', '공시', '요구', '바이오', '스텍', '대한', '현저', '주가', '급등', '관련', '한국', '거래소', '조회', '공시', '요구', '티에스', '인베스트먼트', '케이', '티에스', '중소', '기술', '금융', '투자', '합자회사', '주식', '취득', '결정', '분율']"
23,1,정부는 블록체인 기술 개발을 지원한다는 소식에 따라 한컴지엠디 한컴시큐어 시큐브 등 보안 관련 기업들이 상승세를 보이고 있습니다 정부는 대용량 데이터 처리 및 블록체인 상호 연동 기술 개발에 약 억원을 투자할 계획이며 올해 블록체인 시범사업 예산도 지난해 대비 크게 늘릴 예정입니다 이러한 지원 조치는 가상화폐 논란과 별개로 블록체인 기술의 발전을 도모하려는 정부의 입장을 반영합니다,"['정부', '블록', '체인', '기술', '개발', '소식', '한컴', '엠디', '한컴', '큐어', '시큐브', '보안', '관련', '기업', '상승세', '보이', '정부', '용량', '데이터', '처리', '블록', '체인', '상호', '연동', '기술', '개발', '억원', '투자', '계획', '올해', '블록', '체인', '시범', '사업', '예산', '지난해', '대비', '크게', '예정', '지원', '조치', '가상', '화폐', '논란', '별개', '블록', '체인', '기술', '발전', '도모', '정부', '입장', '반영']"
