realUp,summ_context
1,씨티엘과 라이브플렉스는 월 정액제를 도입한 가상화폐 거래소 코인마블 서비스를 준비하고 있다고 발표함에 따라 주가가 크게 상승했습니다 이 새로운 모델은 주식거래보다 최대 배 높은 수수료를 부과하는 현재 가상화폐 거래소에 비해 저렴한 것으로 평가받으며 이용자로부터 큰 관심을 받을 것으로 예상됩니다 월 정액제는 원부터 무제한 거래에 대해 월 만 원의 서비스를 제공하며 투자자들의 거래 비용을 크게 줄일 수 있을 것으로 기대됩니다 코인마블은 다양한 알트코인을 제공하여 투자자분들에게 더 많은 투자 기회를 제공할 계획입니다
0,서울시가 노후 하수도를 교체하는 차세대 하수도 구축 사업을 발표함에 따라 뉴보텍이 관련주로 주목받고 있습니다 이 사업은 광진구 군자동을 시범 지역으로 선정하여 내년 월까지 기본 계획을 확립하고 이후 년부터 연간 억 원의 예산으로 서울 개 자치구 전역에 확대할 예정입니다 뉴보텍은 환경 관련 배관제 및 그 부속자재 제조업에 종사하며 상하수도관 등의 제품을 생산하고 있습니다
1,코스닥 시장이 정책 기대감에 힘입어 상승세를 이어가며 코스피 코스닥 통합 지수인 과 관련한 정부 활성화 방안으로 시장 기대가 더욱 커졌습니다 코스닥지수는 장중 까지 올라 년 이후 최고치를 기록했습니다 외국인과 기관은 순매수 개인은 순매도했습니다 시가총액 상위 종목들은 기대감에 힘입어 상승세를 보였습니다 셀트리온그룹주들이 급등하며 코스닥지수는 사상 최고 거래대금을 경신했습니다 코스피 지수도 선을 돌파했지만 외국인의 매도로 보합권에서 등락하였습니다
0,해당 기사는 모터스가 주식 거래를 재개한 후 상한가를 기록했다고 전하고 있습니다 감자 자본감소 결정으로 인해 재무구조 개선 기대감이 형성되었습니다 주가는 최대주주 특수관계인 주식을 보통주 주를 주로 병합하는 방식으로 결정되었으며 거래 중단 후 다시 거래가 시작되었습니다 기사에 언급된 다른 주식들과 관련된 코드는 제공되지 않았습니다
1,해당 기사는 정부가 코스닥 시장 활성화를 위한 방안에 발표한 이후 제약 및 바이오주가 주목을 받고 있다고 언급하고 있습니다 신신제약 의 주가가 전날 대비 상승하며 강세를 보이고 있으며 약품 라인업 강화와 영업망 확대 계획이 회사의 성장 전망을 밝게 하고 있음을 설명합니다 서근희 증권 연구원 분석에 따르면 내년에는 수면유도 천식 전립선 비대증 패치제 등 전문의약품 분야에서의 제품 출시로 매출이 증가할 것으로 기대됩니다 또한 세종시에 첩부제 생산 공장 완공 계획이 언급되었습니다
1,최근 코스닥 상승세는 가상화폐 관련주의 강한 성과 덕분으로 이어지고 있습니다 지난 일에는 코스닥지수가 선을 돌파하며 년 만에 최고치를 기록했습니다 외국인 투자자들은 이날에도 대규모로 매수세를 보이면서 의 상승률을 보였습니다 가상화폐 관련주인 버추얼텍 우리기술투자 아이지스시스템 등이 두 자릿수의 상승률을 나타냈습니다 제약주의 강세도 눈에 띄었습니다 바이로메드와 셀트리온제약이 각각 와 의 큰 폭으로 올랐습니다 외국인 투자자들은 코스닥에서 억원 어치를 순매수했으며 그중 억원은 제약주 매수에 집중했습니다 코스피지수는 전 거래일 대비 상승한 으로 마감되었습니다 시가총액 상위 종목 중 삼성생명이 상승하며 가장 높은 상승률을 보였습니다 이 경민 대신증권 마켓전략실 팀장은 코스닥 대장주인 제약 바이오 업종이 단기 과열에도 불구하고 계속 상승세를 보이고 있다고 분석했습니다 한편 정책 및 연구개발 투자 확대와 셀트리온 관련 호재에 힘입어 바이오 주식이 강세를 보였습니다 외국인 투자자들은 코스피 중형주와 금융업종을 순매수했으며 기관은 중형주를 주로 매수했습니다
1,증권가는 다음 달 일 발표될 에 주목하고 있습니다 은 지난 일 발표된 정부의 코스닥 활성화 정책으로 새로 만들어진 벤치마크 지수로 기존 벤치마크 지수인 코스피 이나 등에 비해 코스닥 상장사가 편입되거나 비중이 더 큰 것이 특징입니다 업계 전문가들은 에 포함된 종목이 수급 확대를 경험할 것으로 예상하고 있으며 대형주 위주로 편성될 것으로 보고 있습니다 특히 이 지수에 기초하여 파생상품과 상장지수펀드 가 출시되면 코스닥의 수급 안전망 역할을 할 수 있을 것으로 기대됩니다 대신증권은 에 따른 수혜를 볼 것으로 예상되는 개 종목을 선별했는데 이는 코스피에서는 휠라코리아 엔터테인먼트 롯데하이마트 등이 있고 코스닥에서는 솔브레인 차바이오텍 등 제약바이오 기업이 다수를 차지하고 있습니다 신한금융투자도 금융과 산업재 분야의 종목이 에 편입되면 수혜를 볼 것으로 예상했습니다 그러나 새로운 지수가 활성화되기 위해서는 선물 및 옵션 상품 개발이 필수적으로 이러한 부분이 해결되지 않는다면 시장의 성장에 제한적일 수 있다는 우려도 있습니다 또한 기존 벤치마크 지수인 코스피 의 자금 유입이 분산되어 중기적으로 삼성전자에 대한 매도가 증가할 수도 있습니다
0,신성이엔지 중국기업과 디스플레이 장비 공급 계약 체결 억원 규모 태영건설 부산 용호 구역 주택재개발 정비사업 계약 체결 억 만원 중공업 한국중부발전과 보령화력 호기 환경설비 공급 계약 체결 억 만원 규모 참엔지니어링 임시주주총회결의 무효확인 항소 기각 유안타증권 강종구 외 인에 의한 집단 소송 허가 관련 항고심 신청 삼화전기 한국거래소로부터 현저한 시황변동 관련 조회공시 요구 차바이오텍 주주배정 후 실권주 일반공모 방식 유상증자 결정 억원 규모
1,정부가 가상화폐 거래소 폐쇄 방안은 확정된 대책이 아니라며 논의 중임을 명확히 하였습니다 이에 따라 관련 테마주가 상승세를 보이며 일부 종목은 두 자릿수 상승률을 기록했습니다 정부는 가상통화에 대한 투기와 불법행위를 차단하기 위해 실명제를 추진하는 한편 블록체인 기술은 지원 및 육성할 계획이라고 밝혔습니다
0,코스닥 지수 년 만에 처음으로 선을 돌파하며 종가 기준 사상 최고치 기록 외국인과 기관이 각각 억원 억원을 순매수하며 상승세를 주도함 셀트리온 형제 등 주요 바이오주 하락에도 코스닥 시장은 강세 유지됨 개별 종목으로는 바이오톡스텍 하이로닉 코딕이 상한가를 기록함 다날은 가상화폐 거래소 업비트에 투자한다는 소식으로 주목받고 디엠씨는 인도네시아 수주가 임박했다는 기대감으로 상승함
1,드림시큐리티 가 삼성 의 블록체인 전자인증 플랫폼 개발 계획과 국내에서 통신 관련주의 강세로 인해 상승세를 보이고 있습니다 드림시큐리티는 전국은행연합회의 블록체인 인증 시스템 구축 사업에 참여하고 있으며 향후 금융을 넘어 제조 물류 의료 등 다양한 분야로의 확장 계획을 가지고 있습니다 또한 텔레콤과 가 양자암호기술 개발에 주력함에 따라 드림시큐리티의 관련 기술 경쟁력이 주목받고 있습니다
1,요약 보안 소프트웨어 회사인 시큐브는 커널레벨 암호화 솔루션과 블록체인 기술 개발을 강화할 계획이라고 발표했습니다 이러한 결정은 개인 정보 보호와 기밀 정보의 중요성이 점점 더 커지고 있는 추세에 따른 것으로 회사는 커널레벨 암호화 솔루션 시장의 성장 가능성을 보고 있습니다 시큐브의 홍기융 대표는 지난 년 동안의 커널 보안 기술력을 바탕으로 새로운 시장 개척을 목표로 하고 있으며 하드웨어 보안과 함께 및 커널 레벨 암호 기술을 통해 블록체인 보안 분야에서 선도적 역할을 수행하고자 합니다
0,다음 장 마감 후 주요 뉴스입니다 경인전자에서 김효조 전임 대표이사 사임과 김성은 신규 선임 팀스에 대한 한국거래소 조회공시 요구 시황변동 관련 이노텍의 채준 서울대 경영대학 교수 사외이사 선임 가 합병을 통해 이엔디의 발전사업허가를 변경하여 복합화발전으로 전환 예정 가스 음성 급 및 울산 급 복합화력발전소 건설 계획 발표 오쇼핑이 을 흡수 합병하기로 결정하고 상반기 내에 관련 정부 승인을 완료할 예정 액션스퀘어 카카오게임즈를 대상으로 억원 규모 제 자배정 유상증자를 통해 운영자금 마련 한국거래소의 헬로 지분 매각설에 대한 오쇼핑의 조회공시 요구 바이오톡스텍에 대한 현저한 주가급등 관련 한국거래소 조회공시 요구 티에스인베스트먼트가 케이비티에스 중소벤처기술금융 사모투자합자회사 주식 취득 결정 지분율
1,정부는 블록체인 기술 개발을 지원한다는 소식에 따라 한컴지엠디 한컴시큐어 시큐브 등 보안 관련 기업들이 상승세를 보이고 있습니다 정부는 대용량 데이터 처리 및 블록체인 상호 연동 기술 개발에 약 억원을 투자할 계획이며 올해 블록체인 시범사업 예산도 지난해 대비 크게 늘릴 예정입니다 이러한 지원 조치는 가상화폐 논란과 별개로 블록체인 기술의 발전을 도모하려는 정부의 입장을 반영합니다
1,동성제약은 울산대학교와 서울아산병원으로부터 치료용 레이저 프로브 개발 및 의학적 활용에 관한 기술 을 도입하였습니다 이를 바탕으로 국내 최초의 내시경용 광섬유 프로브를 개발했습니다 이 프로브는 암세포만을 대상으로 치료하는 광역학치료를 최적화할 수 있게 합니다 동성제약은 현재 박도현 교수팀과 췌장암 및 담도암 환자를 대상으로 한 임상시험을 진행 중입니다 기술이전은 국내외에서 해당 기술의 실시권을 부여받게 되었습니다
1,케이사인은 사물인터넷 보안과 블록체인에 초점을 맞춘 기술 개발 강화 소식을 발표하며 주가가 상승하고 있습니다 지난 년 산업통상자원부 산하 우수기술연구센터 과제 지원업체로 선정되어 서비스 플랫폼 보안 핵심 기술을 개발해왔습니다 최근에는 이더리움 블록체인을 기반으로 한 기기 간 상호인증 기술 및 기기 관리에 초점을 맞춘 새로운 기술을 개발했습니다 회사는 장기적인 목표를 달성하기 위해 투자에 나섰으며 창립 이래 공개키 및 암호 인증 원천 기술을 개발해 온 경험을 바탕으로 데이터베이스 암호화 분야의 전문 기업이 되었습니다
1,이 뉴스 기사는 정부가 오는 일부터 가상화폐 거래소의 신규 계정을 허용하는 새로운 금융 규제에 대해 논의하고 있습니다 실명 확인을 거친 후 은행을 통해 개인은 가상화폐 거래를 할 수 있게 됩니다 이 소식이 발표된 후 가상화폐 관련 주식들이 급등세를 보였습니다 이러한 상승세는 규제 덕분에 가상화폐 거래가 증가할 것으로 기대되기 때문으로 보입니다 정부는 외국인 및 미성년자는 거래에서 제외하기로 했습니다 기업은행 농협은행 신한은행 등 개 은행은 오는 일부터 실명 확인 서비스를 시작할 예정입니다
0,수소차 관련 주식들이 유럽연합 이 자동차 이산화탄소 배출 목표를 강화함에 따라 급등하고 있습니다 년까지 감축 목표가 기존보다 더 높아진 것으로 수소 차량과 같은 친환경 기술에 대한 수요가 증가할 것이라는 전망 때문입니다 이에 따라 일진다이아와 우리산업 등 관련 주식들의 주가가 상승했습니다 유럽에서 자동차를 판매하기 위해서는 엄격한 배출 기준 준수가 필요하며 이를 지키지 못할 경우 벌금을 내야 합니다
0,삼화전자와 대원강업 등 수소차 관련주가 강세를 보이고 있습니다 현대자동차가 출시한 차세대 수소전기차 넥쏘 가 중국 정부 관계자들의 호평을 받으며 수소 전기차에 대한 기대감이 상승하고 있습니다 이러한 분위기로 인해 삼화전자와 대원강업을 포함한 현대차의 부품 공급사들이 이득을 보고 있는 것으로 보입니다
0,코스피 지수가 전 거래일 대비 상승하여 종가 기준 사상 최고치인 으로 마감하였습니다 외국인과 기관이 각각 억원 억원을 순매수하며 상승세를 이끌었습니다 코스피 상위 기업들 중 삼성전자와 하이닉스가 강세를 보였습니다 코스닥 지수는 소폭 상승하였으나 코스피에 비해 부진하였습니다 기관과 개인이 각각 억원과 억원을 순매수한 반면 외국인은 억원을 순매도하였습니다
0,요약하자면 정치권이 미세먼지 감소를 위해 수소전기차 도입을 추진함에 따라 관련주들이 상승세를 보이고 있습니다 성창오토텍 코오롱머티리얼 평화홀딩스 성문전자 등 주식이 큰 폭으로 상승했으며 성창오토텍은 전기차 및 수소전기차의 핵심 부품 생산에 있어 경쟁력을 갖추고 있습니다 이러한 추세는 미세먼지 특별법의 통과와 친환경 차량 도입 계획을 통해 지속될 것으로 예상됩니다
0,코스닥 지수가 기관의 매수세로 인해 장중 최고치를 기록하며 년 만에 처음으로 선을 돌파하였습니다 관련주들이 강세를 보였고 외국인과 기관이 동반 순매수했습니다 셀트리온 과 같은 대형 종목이 상승했으며 가상화폐 관련주가 호조를 보였습니다 거래량은 증가했고 상한가 종목도 나타났습니다
0,신세계그룹은 이커머스 시장 진출을 강화하기 위해 조원 이상을 투자할 계획입니다 해당 그룹은 신세계백화점과 이마트의 온라인 사업부를 통합하여 새로운 회사를 설립할 예정이며 이를 통해 시너지 효과를 극대화하고 국내 이커머스 시장의 경쟁력을 향상시킬 것으로 기대하고 있습니다 투자에는 비알브이 캐피탈 매니지먼트와 어피너티 에쿼티 파트너스가 참여하며 닷컴의 온라인 사업 성장을 도모할 계획입니다 해당 계획에 따라 신세계그룹 주가 및 관련 회사들의 주가가 상승했습니다
1,평화홀딩스와 평화산업이 수소차 수혜 기대감에 힘입어 주가가 상승하고 있습니다 현대차의 핵심 부품인 연료전지 스택 가스켓을 공급하는 평화씰공업이 이들 회사의 계열사입니다 그러나 시장 유통 주식량이 적어 가격 변동성이 높다는 점을 주의해야 합니다
0,코스닥 지수가 연이어 상승세를 보이며 거래일 연속 상승했습니다 종가 기준으로 지난 년 이후 년 만에 최고치인 로 마감되었습니다 특히 셀트리온은 코스피 지수 특례편입 기대감에 주가가 이상 급등하며 시장을 이끌었습니다 외국인과 기관의 매도에도 불구하고 개인 투자자들은 주식 억원을 순매수하였습니다 운송 제약 등 일부 업종이 상승세를 보였지만 부품 등의 산업은 하락세를 보였습니다 코스닥 상위 종목들은 혼조세를 나타냈고 파라텍 인트로메딕 등은 주가가 가격제한폭까지 치솟았습니다
0,이 뉴스 기사에서 제이스테판과 세미콘라이트 두 기업이 호조를 보이고 있습니다 제이스테판은 중국인 관광객을 대상으로 한 인바운드 플랫폼 사업이 성장함에 따라 주가가 상승하고 있습니다 또한 한국거래소는 재무제표 감사 의견 적정을 받은 후 회사의 상장 유지 결정을 내렸습니다 반면 세미콘라이트는 운영자금과 타법증권 취득자금을 마련하기 위한 제 자 배정 유상증자로 인해 주가가 오르고 있습니다 이 증자는 에스엠씨홀딩스를 대상으로 하며 총 억원을 모으고자 합니다
0,세화피앤씨 가 중국 코나인터내셔널과 화장품 및 염모제 등 물품을 독점으로 공급하는 계약을 체결하였습니다 계약금액은 억원으로 이는 지난 년 매출액의 에 해당합니다 계약기간은 내년 월 일까지입니다 이 발표는 이후섭 기자가 보도했습니다
1,서울경제에 따르면 동성제약이 올해 중국의 염모제 매출 증가로 실적 성장 가능성이 높아지며 상승세를 보이고 있습니다 현재 주가는 전일 대비 오른 원에 거래 중이며 동성제약은 국내 염모제 시장에서 점유율 약 를 차지하는 위 업체입니다 지난해에는 약 억원의 매출을 달성한 것으로 추정됩니다 그동안 국내 미용실 및 홈쇼핑을 통한 판매가 대부분이었으나 올해 중국향 매출 성장이 기대됨에 따라 이러한 상승세가 나타나고 있습니다
0,주요 기업 소식 업데이트입니다 상사는 보통주당 원을 현금배당하며 배당금 총액은 억 천 백 십 만 원입니다 넥센타이어는 보통주당 원 우선주당 원을 현금배당합니다 광주신세계는 보통주당 원을 현금배당합니다 미래에셋대우는 보통주당 원 우선주당 원의 현금배당을 발표하며 총 배당금 규모는 억 원입니다 상사는 지난해 매출 조 천 억 원 영업이익 억 원으로 전년 대비 성장을 기록했습니다 삼성전자는 사우디 아람코와 경유 납사 및 항공유 공급계약을 체결하며 계약 규모는 조 억 원입니다 덴티움은 해외 주요 기관투자자를 대상으로 홍콩과 싱가포르에서 을 개최합니다 은 중국 선전 차이나 스타 옵토일렉트로닉스 반도체 디스플레이 테크놀로지와 디스플레이 제조용 공정 장비 공급계약을 체결했으며 계약 규모는 억 만 원입니다
0,코스닥지수가 미국발 바이오주 폭락의 영향으로 일 연속 하락하여 선 아래로 내렸습니다 셀트리온 형제를 비롯해 주요 바이오주들이 큰 폭으로 하락했습니다 아마존 모건 버크셔 해서웨이가 건강 관리 회사를 설립한다는 소식이 미국 바이오주에도 영향을 미쳐 국내 바이오주에도 영향을 준 것으로 보입니다 코스닥지수는 전날 대비 포인트 내린 로 마감했습니다
1,동성제약의 주가가 광역학치료 사업으로 인한 신성장 동력 기대감으로 인해 상승세를 보이고 있습니다 이 기술은 암세포에만 선택적으로 축적되는 광과민성 물질을 이용해 정상 세포는 손상시키지 않고 암을 치료하는 새로운 방법입니다 지난해 췌장과 담도암 환자에 대한 연구자 임상 시험이 완료되었으며 올해 하반기에 포토론 관련 매출이 생길 것으로 전망됩니다 회사는 이 기술을 다른 유형의 암에도 확대 적용할 계획입니다 또한 중국 시장으로의 수출 가능성 증가와 대구경북첨단의료복합단지 내 광역학치료법 연구를 위한 동성제약연구소 설립이 회사의 성장에 기여할 것으로 기대되고 있습니다
0,오성엘에스티는 사명 변경을 추진 중이며 오성첨단소재로 알려질 예정입니다 회사가 의료용 마리화나 사업에 진출한다는 발표 후 주가가 상승세를 보였습니다 회사는 카나비스메디칼 주식회사를 설립해 연구를 진행하고 의약품 개발 및 사회 기여를 계획하고 있습니다 마약류 관리에 대한 법안이 제안되어 있으며 이 법안은 의학적 용도로 마리화나를 합법화하는 것을 목표로 합니다 오성첨단소재는 의료용 마리화나 시장이 조원에 달한다고 보고 있습니다
0,뉴프라이드 주식은 미국에서 대마초 사업을 확장한다는 소식에 상한가까지 치솟았습니다 회사는 자회사 엔피팜을 통해 캘리포니아 주 로스앤젤레스 카운티에 있는 대마초 판매점 인수를 확정했습니다 인수금액은 약 억 원이며 이를 통해 뉴프라이드는 에쿼티그로스의 지분 를 확보하게 됩니다 노스헐리우드에 위치한 해당 판매점은 세계적인 영화 및 스튜디오들과 인접해 있어 수요가 클 것으로 예상됩니다 회사는 향후에도 캘리포니아 내 각 지역에 대마초 판매점을 확장할 계획이라고 합니다
0,네이버가 일본 가상화폐 거래소 시장에 진출하면서 관련 주식들이 상승세를 보이고 있습니다 네이버뿐만 아니라 카카오와 엔씨소프트도 가상 화폐 거래소에 투자하고 있어 성장성에 대한 기대가 커지고 있습니다 최근 바이오주가 약세를 보이는 것도 주된 이유로 작용하고 있습니다 네이버 카카오 넥슨과 같은 국내 주요 인터넷 및 게임 기업들이 가상화폐 시장에 진입함에 따라 이 시장이 주목받고 있습니다 이러한 기업들은 신기술의 잠재력을 인지하고 있으며 이는 새로운 수익원을 창출할 수 있는 가능성을 열어줍니다 두나무와 같이 지난해 가상 화폐 열풍을 통해 수천억원 규모의 수익을 낸 사례도 있습니다 증권가에서는 네이버의 일본 거래소 진출로 인한 단기적인 영향은 제한적일 것으로 전망하지만 장기적인 성장 잠재력을 높게 평가하고 있습니다 또한 국내 대표 기업들이 가상화폐에 관심을 갖는 것은 그 자체로 중대한 의미를 지니며 투자자들의 주목을 받고 있습니다
0,텔레필드 주가가 삼성전자 인텔이 협력하여 평창 동계올림픽에서 세계 최초의 시범 서비스를 진행한다는 소식이 전해지면서 상승하였습니다 해당 기업들은 국제 표준화를 위해 함께 노력할 예정입니다 텔레필드는 통신 장비 제조업체로 주요 고객사인 와 에 전송장비를 공급하고 있습니다 투자증권에 따르면 투자 사이클에 따른 실적 개선이 기대되며 경쟁사 대비 성장성과 가치 측면에서 돋보일 것으로 전망됩니다
0,해당 기사에 따르면 문재인 대통령이 새만금 사업을 위해 법령을 개정하고 전담 공사를 설립하여 매립 작업을 공공 주도로 진행하겠다고 발표하였습니다 이러한 계획은 해당 지역의 관련 기업들 예를 들어 디젠스와 페이퍼코리아의 주식 가격 상승으로 이어졌습니다 또한 세종시와 전북 지역이 혁신성장 거점으로 육성될 예정이며 이는 이들 지역에 투자한 기업들의 성장과 수익 향상으로 이어질 것으로 기대됩니다
1,서울경제에 따르면 명문제약 이 장 시작과 함께 강세를 보이며 주가가 상승하고 있습니다 현재 오전 시 분 기준으로 원에 거래 중으로 전날 대비 오른 상태입니다 명문제약은 기존 페노피브레이트에 콜린염을 추가해 친수성을 향상시킨 제네릭 개발에 착수했으며 고지혈증 복합제인 로젯의 지난해 매출이 억원으로 크게 성장했습니다 기사의 나머지 부분은 다양한 기업들의 주식 정보와 그들의 코드 번호를 나타내고 있습니다 이 정보는 투자자 또는 증권 애호가들이 특정 회사의 성과와 시장 동향을 추적하는 데 유용한 정보를 제공합니다
1,일 코스닥 지수가 전 거래일 대비 포인트 하락한 로 마감했습니다 이는 년 서브프라임 모기지 사태 이후 최대 낙폭을 기록했으며 외국인과 기관이 동반 순매도세를 보이며 지수 하락을 주도했습니다 셀트리온 형제 등 시가총액 상위 종목이 대부분 하락했고 제약 바이오 관련주는 정부의 치매연구개발사업 발표에 따라 상승세였습니다
0,세종시 관련주인 유라테크 프럼파스트 유아이디 대주산업 등이 문재인 대통령이 개헌안을 준비해 국민투표를 제안한 영향으로 강세를 보였습니다 이러한 주가는 대통령의 발언에 따라 세종시 개발 가능성이 커짐으로써 상승세를 보였으며 월 지방선거와 동시 개헌 투표를 위한 노력을 다하겠다고 언급하면서 관련주들이 급등했습니다
1,다음은 월 일 장 마감 후 주요 기업 뉴스입니다 넥스트칩 영업 손실 확대 아프리카 이익 증가 한국정밀기계 상장 폐지 가능성 공시 웹젠 이익 감소 제이에스티나 적자 전환 현금 배당 결정 씨아이에스 적자 전환 에이티넘인베스트 이익 증가 및 배당 결정 제일제강 이익 증가 세보엠이씨 건설과 계약 체결 하이셈 반도체 테스트 장비 양수 추가 뉴스는 이데일리 기사에서 확인하세요
